iter	Passed	Remaining
550	82420	366329
551	82566	366164
552	82710	365988
553	82861	365846
554	82997	365635
555	83145	365481
556	83292	365321
557	83438	365157
558	83584	364989
559	83716	364762
560	83869	364632
561	84015	364465
562	84160	364298
563	84314	364166
564	84465	364023
565	84613	363866
566	84757	363694
567	84899	363513
568	85048	363360
569	85193	363191
570	85341	363036
571	85470	362800
572	85613	362625
573	85780	362548
574	85926	362387
575	86102	362346
576	86249	362189
577	86395	362024
578	86533	361828
579	86663	361596
580	86819	361474
581	86971	361335
582	87114	361161
583	87266	361019
584	87414	360863
585	87570	360741
586	87719	360592
587	87867	360434
588	88008	360250
589	88173	360165
590	88322	360016
591	88468	359853
592	88611	359677
593	88770	359567
594	88918	359408
595	89058	359224
596	89204	359057
597	89355	358914
598	89510	358789
599	89665	358660
600	89806	358477
601	89961	358351
602	90113	358210
603	90274	358109
604	90463	358116
605	90626	358020
606	90859	358197
607	91004	358029
608	91146	357852
609	91310	357757
610	91470	357649
611	91629	357536
612	91788	357422
613	91936	357262
614	92078	357084
615	92243	356995
616	92386	356819
617	92538	356678
618	92696	356560
619	92847	356414
620	93005	356294
621	93159	356162
622	93314	356033
623	93471	355911
624	93610	355721
625	93762	355580
626	93903	355396
627	94056	355259
628	94188	355041
629	94335	354882
630	94473	354688
631	94648	354632
632	94807	354517
633	94962	354386
634	95117	354255
635	95272	354127
636	95427	353995
637	95580	353857
638	95739	353743
639	95881	353563
640	96055	353503
641	96212	353379
642	96376	353279
643	96526	353130
644	96673	352968
645	96812	352780
646	96965	352641
647	97100	352437
648	97251	352291
649	97404	352154
650	97555	352010
651	97700	351841
652	97841	351658
653	98000	351543
654	98157	351420
655	98307	351269
656	98476	351186
657	98628	351043
658	98786	350925
659	98931	350757
660	99073	350580
661	99232	350461
662	99381	350309
663	99537	350181
664	99697	350065
665	99844	349907
666	99993	349752
667	100145	349610
668	100290	349442
669	100437	349282
670	100573	349084
671	100725	348943
672	100876	348797
673	101029	348657
674	101178	348503
675	101332	348368
676	101485	348229
677	101626	348046
678	101766	347866
679	101917	347717
680	102057	347533
681	102205	347379
682	102352	347218
683	102496	347048
684	102655	346931
685	102804	346776
686	102959	346646
687	103126	346552
688	103271	346387
689	103443	346310
690	103595	346168
691	103739	345998
692	103882	345825
693	104030	345667
694	104166	345471
695	104323	345347
696	104488	345247
697	104646	345123
698	104793	344965
699	104943	344815
700	105086	344642
701	105255	344553
702	105406	344407
703	105554	344253
704	105692	344063
705	105831	343875
706	105996	343775
707	106148	343631
708	106284	343439
709	106433	343286
710	106576	343111
711	106712	342920
712	106863	342773
713	107011	342617
714	107142	342406
715	107304	342293
716	107450	342133
717	107596	341970
718	107742	341810
719	107906	341703
720	108054	341548
721	108196	341373
722	108346	341224
723	108488	341049
724	108636	340893
725	108772	340701
726	108924	340557
727	109085	340442
728	109234	340290
729	109375	340114
730	109527	339971
731	109675	339813
732	109818	339643
733	109956	339457
734	110112	339327
735	110283	339240
736	110443	339123
737	110609	339023
738	110768	338899
739	110925	338773
740	111082	338643
741	111270	338608
742	111438	338516
743	111607	338424
744	111764	338293
745	111912	338137
746	112065	337997
747	112227	337882
748	112390	337773
749	112558	337674
750	112713	337539
751	112863	337390
752	113007	337222
753	113172	337117
754	113328	336984
755	113471	336810
756	113630	336689
757	113771	336511
758	113925	336373
759	114099	336292
760	114242	336123
761	114383	335944
762	114541	335818
763	114691	335668
764	114843	335523
765	114998	335388
766	115156	335260
767	115310	335120
768	115457	334961
769	115604	334803
770	115764	334680
771	115915	334533
772	116071	334399
773	116225	334261
774	116386	334142
775	116534	333985
776	116673	333803
777	116820	333643
778	116959	333462
779	117114	333326
780	117265	333177
781	117418	333036
782	117586	332935
783	117743	332805
784	117899	332670
785	118045	332510
786	118210	332400
787	118373	332287
788	118520	332128
789	118675	331991
790	118918	332099
791	119104	332049
792	119270	331941
793	119433	331827
794	119591	331697
795	119746	331560
796	119912	331450
797	120076	331338
798	120229	331195
799	120390	331074
800	120543	330929
801	120706	330815
802	120867	330692
803	121020	330547
804	121194	330461
805	121354	330337
806	121504	330184
807	121660	330050
808	121818	329919
809	121974	329783
810	122144	329683
811	122302	329554
812	122445	329382
813	122593	329224
814	122761	329121
815	122910	328967
816	123074	328851
817	123236	328731
818	123379	328559
819	123534	328421
820	123689	328282
821	123835	328118
822	123988	327973
823	124135	327813
824	124287	327667
825	124453	327557
826	124597	327389
827	124733	327199
828	124880	327038
829	125020	326861
830	125183	326743
831	125380	326712
832	125560	326637
833	125718	326506
834	125868	326352
835	126017	326197
836	126175	326066
837	126340	325951
838	126503	325832
839	126644	325657
840	126783	325475
841	126929	325313
842	127078	325158
843	127224	324995
844	127394	324893
845	127570	324807
846	127735	324691
847	127896	324568
848	128074	324484
849	128262	324427
850	128473	324428
851	128635	324305
852	128789	324163
853	128938	324008
854	129094	323869
855	129256	323744
856	129408	323595
857	129566	323463
858	129703	323276
859	129853	323122
860	129988	322933
861	130128	322754
862	130278	322600
863	130433	322460
864	130607	322366
865	130751	322198
866	130900	322042
867	131032	321844
868	131188	321706
869	131344	321566
870	131503	321436
871	131644	321261
872	131791	321099
873	131953	320977
874	132113	320846
875	132258	320682
876	132418	320551
877	132572	320408
878	132738	320295
879	132876	320110
880	133027	319960
881	133172	319795
882	133316	319626
883	133479	319505
884	133634	319363
885	133787	319218
886	133941	319074
887	134147	319053
888	134318	318948
889	134469	318799
890	134642	318698
891	134833	318641
892	134996	318518
893	135134	318336
894	135274	318159
895	135420	317996
896	135588	317885
897	135748	317754
898	135902	317609
899	136058	317469
900	136238	317386
901	136386	317228
902	136583	317182
903	136740	317043
904	136908	316931
905	137059	316781
906	137222	316656
907	137384	316529
908	137555	316422
909	137720	316303
910	137892	316198
911	138043	316045
912	138218	315948
913	138369	315797
914	138536	315681
915	138681	315516
916	138836	315373
917	138992	315232
918	139163	315123
919	139314	314971
920	139454	314793
921	139599	314629
922	139746	314467
923	139906	314334
924	140043	314150
925	140176	313960
926	140322	313795
927	140460	313615
928	140604	313446
929	140756	313295
930	140900	313129
931	141039	312950
932	141193	312804
933	141340	312644
934	141499	312510
935	141653	312363
936	141810	312226
937	141968	312088
938	142136	311973
939	142290	311828
940	142437	311666
941	142581	311499
942	142723	311327
943	142856	311137
944	143002	310974
945	143148	310810
946	143300	310661
947	143457	310521
948	143609	310371
949	143761	310222
950	143914	310074
951	144073	309939
952	144223	309784
953	144371	309627
954	144512	309453
955	144663	309302
956	144804	309128
957	144944	308953
958	145090	308789
959	145224	308602
960	145375	308449
961	145535	308317
962	145684	308161
963	145846	308031
964	145987	307860
965	146127	307684
966	146276	307527
967	146427	307376
968	146576	307219
969	146730	307075
970	146870	306899
971	147015	306736
972	147146	306543
973	147287	306369
974	147445	306233
975	147632	306156
976	147826	306093
977	148000	305988
978	148156	305846
979	148315	305711
980	148467	305561
981	148667	305511
982	148861	305446
983	149054	305380
984	149217	305252
985	149363	305089
986	149516	304941
987	149669	304791
988	149829	304658
989	149975	304495
990	150121	304333
991	150269	304175
992	150426	304034
993	150570	303868
994	150707	303686
995	150991	303802
996	151137	303638
997	151313	303537
998	151463	303382
999	151631	303262
1000	151791	303127
1001	151943	302978
1002	152098	302832
1003	152271	302722
1004	152420	302566
1005	152583	302435
1006	152732	302279
1007	152891	302143
1008	153053	302011
1009	153207	301864
1010	153352	301699
1011	153496	301532
1012	153653	301391
1013	153802	301234
1014	153956	301086
1015	154103	300925
1016	154250	300766
1017	154399	300608
1018	154553	300462
1019	154709	300318
1020	154856	300158
1021	155010	300011
1022	155159	299853
1023	155301	299683
1024	155453	299531
1025	155604	299380
1026	155745	299207
1027	155893	299048
1028	156029	298867
1029	156180	298715
1030	156343	298584
1031	156490	298424
1032	156636	298261
1033	156777	298089
1034	156914	297910
1035	157052	297733
1036	157193	297560
1037	157328	297378
1038	157466	297200
1039	157601	297019
1040	157753	296868
1041	157886	296680
1042	158030	296515
1043	158174	296350
1044	158319	296186
1045	158480	296051
1046	158619	295877
1047	158762	295709
1048	158906	295544
1049	159044	295368
1050	159185	295198
1051	159329	295032
1052	159481	294881
1053	159624	294714
1054	159761	294536
1055	159905	294371
1056	160061	294228
1057	160220	294091
1058	160368	293933
1059	160519	293781
1060	160670	293629
1061	160813	293462
1062	160963	293308
1063	161121	293167
1064	161267	293006
1065	161416	292851
1066	161557	292681
1067	161698	292510
1068	161854	292366
1069	161997	292200
1070	162143	292040
1071	162298	291894
1072	162448	291741
1073	162577	291549
1074	162718	291379
1075	162870	291228
1076	163012	291060
1077	163156	290897
1078	163315	290758
1079	163456	290590
1080	163606	290434
1081	163755	290280
1082	163901	290118
1083	164046	289956
1084	164188	289788
1085	164342	289641
1086	164482	289470
1087	164641	289333
1088	164793	289182
1089	164934	289013
1090	165081	288855
1091	165229	288697
1092	165358	288507
1093	165499	288337
1094	165637	288164
1095	165783	288004
1096	165931	287847
1097	166083	287696
1098	166223	287524
1099	166352	287336
1100	166510	287196
1101	166662	287046
1102	166806	286883
1103	166935	286693
1104	167077	286527
1105	167221	286362
1106	167360	286191
1107	167518	286050
1108	167662	285888
1109	167856	285810
1110	168003	285651
1111	168159	285508
1112	168313	285361
1113	168467	285215
1114	168625	285075
1115	168779	284928
1116	168922	284763
1117	169092	284644
1118	169244	284494
1119	169389	284331
1120	169536	284174
1121	169684	284016
1122	169814	283830
1123	169953	283659
1124	170104	283507
1125	170233	283319
1126	170378	283158
1127	170516	282984
1128	170659	282820
1129	170801	282653
1130	170947	282494
1131	171085	282321
1132	171236	282170
1133	171373	281995
1134	171519	281836
1135	171668	281681
1136	171801	281501
1137	171947	281340
1138	172075	281152
1139	172224	280997
1140	172375	280846
1141	172507	280664
1142	172635	280475
1143	172790	280331
1144	172927	280157
1145	173072	279996
1146	173221	279842
1147	173366	279681
1148	173503	279507
1149	173643	279339
1150	173769	279148
1151	173906	278975
1152	174041	278797
1153	174181	278629
1154	174337	278487
1155	174470	278307
1156	174623	278159
1157	174779	278016
1158	174928	277863
1159	175065	277690
1160	175198	277510
1161	175326	277323
1162	175476	277171
1163	175622	277012
1164	175746	276820
1165	175893	276663
1166	176042	276509
1167	176185	276345
1168	176328	276182
1169	176469	276016
1170	176602	275837
1171	176748	275679
1172	176887	275510
1173	177048	275374
1174	177200	275226
1175	177343	275063
1176	177478	274888
1177	177619	274721
1178	177748	274537
1179	177893	274377
1180	178032	274208
1181	178162	274027
1182	178315	273878
1183	178464	273726
1184	178607	273564
1185	178759	273413
1186	178901	273250
1187	179038	273079
1188	179196	272939
1189	179344	272783
1190	179476	272605
1191	179608	272426
1192	179757	272273
1193	179891	272097
1194	180051	271960
1195	180209	271820
1196	180357	271667
1197	180514	271525
1198	180658	271364
1199	180810	271215
1200	180950	271048
1201	181091	270883
1202	181235	270723
1203	181375	270556
1204	181516	270391
1205	181655	270224
1206	181807	270074
1207	181971	269944
1208	182140	269820
1209	182290	269669
1210	182440	269518
1211	182610	269396
1212	182744	269220
1213	182882	269051
1214	183019	268880
